Talker,Vowel,Token,Trial,Location,Quantity,F1,F2,F3
SW_013,oa1,7,2251,50,long,321,655,2684
SW_013,oa1,9,2253,20,long,320,552,2761
SW_013,oa1,9,2253,35,long,467.83194918794,605,2940
SW_014,{:,2,2450,80,long,591.610678671721,1696.34187438945,2846.23158168891
SW_014,{:,5,2453,80,long,641,1671,2671
SW_015,oo1,1,2589,20,long,466.085762864992,1521.31568123027,2732.6914965821
SW_015,oo1,2,2590,20,long,437.098895142348,1634.35550319544,2772.10715701135
SW_015,oo1,5,2593,35,long,441.817174867598,1418.48782475754,3145.92773130334
SW_015,oo1,7,2595,20,long,462.126335321179,1404.63072166861,2907.10948433682
SW_015,oo1,8,2596,80,long,394.761263940468,1570.525847093,3333.18524301471
SW_015,oo1,9,2597,35,long,449.38778856436,1481.60290095746,3101.3492722274
SW_015,{:,3,2671,80,long,521.937947881759,938.104998070942,1671.48044051457
SW_015,oa1,10,2698,35,long,518.765432104702,2453.3191118851,3888.74743777362
SW_016,oo1,2,2810,80,long,403.206896642891,2469.14789706041,3101.70889771679
SW_016,oo1,3,2811,80,long,366.684763018354,1430.44014451795,3029.87780396528
SW_016,oo1,7,2815,80,long,458.478801950454,2058.50805209395,3099.56277369049
SW_016,oo1,8,2816,65,long,434.615326460632,1979.44745883546,3194.2228326194
SW_016,oo1,8,2816,80,long,374.323042441646,1827.92438197895,3228.19851951605
SW_016,oo1,9,2817,65,long,433.037524350339,1479.33205008238,2759.01883642925
SW_016,oo1,9,2817,80,long,320.510658095356,1507.87640584838,2816.8579680129
SW_016,{:,9,2896,80,long,492.427784777434,1627.30059811317,2952.49369248561
SW_017,oo1,1,3027,65,long,466.164311000595,1451.95209437194,3249.82135750625
SW_017,oo1,3,3029,50,long,467.664968690014,2502.36250658694,3640.1065931009
SW_017,oo1,4,3030,35,long,463.669219249007,1708.61423228763,3008.87136688825
SW_017,oo1,4,3030,50,long,449.899887923325,1931.68524814824,3040.26172574704
SW_017,oo1,6,3032,35,long,455.835195214538,1758.68075755075,3301.82227671779
SW_017,oo1,6,3032,50,long,447.373495329358,1622.59510031489,3379.81546134224
SW_017,oo1,8,3034,20,long,468.976047563712,1579.75943011713,3258.41450752746
SW_017,oo1,10,3036,20,long,428.448988554789,2100.3052684787,3490.6006044648
SW_018,oo1,2,3248,80,long,405.127509181682,1456.81129313424,2777.62726403687
SW_018,oo1,3,3249,50,long,493.919165169445,2284.16909634696,3697.01761737312
SW_018,oo1,3,3249,65,long,415.99868502536,1449.47299454963,2970.3294824653
SW_018,oo1,5,3251,65,long,392.395508062949,1579.25875833963,3032.33665678083
SW_018,oo1,6,3252,50,long,496.280512400417,2552.57046796097,3820.5519099081
SW_018,oo1,6,3252,80,long,432.770667950224,1772.20283743903,3013.92131008484
SW_018,oo1,10,3256,65,long,473.338466383517,2117.66388310083,3796.6978308547
SW_019,oo1,4,3470,80,long,389.572350268092,2215.66450990488,2982.62468381536
SW_020,oo1,2,3688,80,long,320.253359339339,2079.14504269741,3235.97948754956
SW_020,oo1,4,3690,65,long,392.843025366138,1687.94994952179,3151.33438670176
