Talker,Vowel,Token,Trial,Location,Quantity,F1,F2,F3
SW_048,oh1,1,511,20,short,321,552.67282219824,2613.05079418408
SW_048,oh1,1,511,35,short,524.047940982336,2126.39744638956,2609.24991119331
SW_048,oh1,1,511,50,short,501.105492370541,2520.37488208471,2816.83490899982
SW_048,oh1,1,511,65,short,393.916253120801,682.663538779008,2621.51195232288
SW_048,oh1,1,511,80,short,351.270421173672,850.000693529549,2662.31543548154
SW_048,oh1,2,512,20,short,321.930319781542,643.051568352829,2472.8362352046
SW_048,oh1,2,512,35,short,504.420862132011,2557.23019179427,2858.8956802863
SW_048,oh1,2,512,50,short,510.822639665372,2539.48398479741,2922.65850948591
SW_048,oh1,2,512,65,short,368.543242920141,605.141926524939,2634.25353481113
SW_048,oh1,2,512,80,short,347.052816406121,861.785042594094,2651.96091071663
SW_048,oh1,3,513,20,short,281.777733196187,600.215566184986,2499.54914606329
SW_048,oh1,3,513,35,short,240.144609115784,519.323035853552,2570.51349022563
SW_048,oh1,3,513,50,short,307.776949795406,557.947110888127,2684.29743775708
SW_048,oh1,3,513,65,short,361.619919668157,794.948441288911,2608.37063467942
SW_048,oh1,3,513,80,short,372.506811622351,969.750466300905,2660.79358796826
SW_048,oh1,4,514,20,short,318.090890021127,708.495382880989,2386.53374797994
SW_048,oh1,4,514,35,short,348.548201760208,686.853739896954,2417.64926198721
SW_048,oh1,4,514,50,short,354.560220999536,648.695204217306,2484.61823675487
SW_048,oh1,4,514,65,short,271.676867449329,680.042804155818,2550.55881644474
SW_048,oh1,4,514,80,short,295.715348206138,855.207778055879,2522.0046426228
SW_048,oh1,5,515,20,short,269.404179264234,583.87623350004,2607.70987647639
SW_048,oh1,5,515,35,short,315.711737204261,549.19126757918,2628.62141477768
SW_048,oh1,5,515,50,short,206.992643103432,563.831125239914,2628.6809562974
SW_048,oh1,5,515,65,short,318.106938536652,461.124467492445,2658.24344039033
SW_048,oh1,5,515,80,short,365.247257028962,882.901614462064,2692.90064735172
SW_048,oh1,6,516,20,short,284.428871364342,696.105249516541,2559.16517534626
SW_048,oh1,6,516,35,short,279.787289023273,584.502071925699,2504.05689903827
SW_048,oh1,6,516,50,short,490.642394004617,2205.87344441159,2884.78418782561
SW_048,oh1,6,516,65,short,312.007449282384,588.924772885323,2606.53131346849
SW_048,oh1,6,516,80,short,325.0658550562,795.15987170715,2665.59346476901
SW_048,oh1,7,517,20,short,247.357628935399,672.562754492729,2482.90280205659
SW_048,oh1,7,517,35,short,473.697697333376,2020.55239877339,2621.25038142779
SW_048,oh1,7,517,50,short,535.178889045658,2469.1388390905,2941.0302736795
SW_048,oh1,7,517,65,short,483.665181506593,2145.31988194301,3049.08276983735
SW_048,oh1,7,517,80,short,300.253246682137,784.957715185071,2620.41723321994
SW_048,oh1,8,518,20,short,299.214211408027,582.489211951374,2462.14763843781
SW_048,oh1,8,518,35,short,528.241566064166,2593.23554341349,2587
SW_048,oh1,8,518,50,short,439.503040244715,2214.68872295886,2564
SW_048,oh1,8,518,65,short,312.844134419991,729.540024319306,2690.87664989608
SW_048,oh1,8,518,80,short,378.658976804366,789.136940198406,2761.93375602981
SW_048,oh1,9,519,20,short,260.035259824666,606.032027686075,2303.7012996147
SW_048,oh1,9,519,35,short,198.264377568696,548.170732546255,2319.75051769403
SW_048,oh1,9,519,50,short,282.428827686343,465.442170499456,2503.84674517902
SW_048,oh1,9,519,65,short,368.892127634902,642.794613239764,2578.40245177368
SW_048,oh1,9,519,80,short,345.878937272204,897.651475309434,2529.11071426059
SW_048,oh1,10,520,20,short,298.875599139998,678.41271687509,2430.90692528781
SW_048,oh1,10,520,35,short,394.276895896931,1434.16043666058,2846.92843137386
SW_048,oh1,10,520,50,short,244.085008829042,552.898459889572,2577.36396940163
SW_048,oh1,10,520,65,short,303.126646875073,589.838725803283,2559.19549068462
SW_048,oh1,10,520,80,short,385.578227116164,744.420872657524,2565.12529066333
SW_048,oa1,1,561,20,long,333.97949146992,666.053333317131,2474.68597707946
SW_048,oa1,1,561,35,long,420.302850215575,2309.51672310597,2931.38796369073
SW_048,oa1,1,561,50,long,387.048778912466,455.177924280211,2552.33299598715
SW_048,oa1,1,561,65,long,390.826031948668,766.240339770895,2643.70127423189
SW_048,oa1,1,561,80,long,450.129558194375,911.753750845679,2731.40808280489
SW_048,oa1,2,562,20,long,415.954720034231,674.898969735172,2617.90557029973
SW_048,oa1,2,562,35,long,457.254105389569,1905.18337278194,2878.8781032018
SW_048,oa1,2,562,50,long,396.927620625696,645.226998329894,2664.85558779232
SW_048,oa1,2,562,65,long,516.847650487758,776.360329518356,2682.13294770236
SW_048,oa1,2,562,80,long,432.586241312057,912.048275166323,2730.46629334918
SW_048,oa1,3,563,20,long,230.723788268365,426.803595939124,2540.86088770989
